ts,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,FL_x,FL_y,FL_z,FR_x,FR_y,FR_z,BL_x,BL_y,BL_z,BR_x,BR_y,BR_z,FL_contact,FR_contact,BL_contact,BR_contact,gt_pos_x,gt_pos_y,gt_pos_z,gt_rot_w,gt_rot_x,gt_rot_y,gt_rot_z,state_est_rot_w,state_est_rot_x,state_est_rot_y,state_est_rot_z,state_est_pos_x,state_est_pos_y,state_est_pos_z
1747821628.52908,-0.415394008,0.521935999,10.460267067,0.038349517,0.151267529,0.053263217,0.191658737,0.163745144,-0.326222563,0.225846852,-0.164736695,-0.27807272,-0.141021243,0.1691682,-0.269543404,-0.171217699,-0.167982142,-0.320314332,1,0,0,1,4929.301269531,95.815109253,301.99810791,0.332100302,0.00837283,-0.017401319,0.943046391,-0.115633445,0.002733056,-0.007736626,0.993258064,-1.72460527,0.165594407,0.23006201
1747821628.53762,-0.331596941,0.751779318,9.654618263,-0.120374866,0.112918019,0.051132686,0.188733021,0.163715537,-0.325948211,0.238078853,-0.164247077,-0.27658821,-0.130995141,0.168086973,-0.268310807,-0.174284047,-0.167320376,-0.32054578,1,0,0,1,4926.006347656,98.105018616,302.206817627,0.331802815,0.007726747,-0.017397074,0.94315666,-0.115904415,0.002055551,-0.007971067,0.99322626,-1.728774853,0.164868561,0.230070765
1747821628.54602,0.245405674,-1.770512104,8.124723434,-0.044741102,0.011717907,0.077764295,0.185176599,0.163557449,-0.325611861,0.251885234,-0.163049919,-0.275547939,-0.118251677,0.166975833,-0.267754664,-0.178436493,-0.166752981,-0.320659127,1,0,0,1,4922.677246094,100.425682068,302.339111328,0.331486136,0.007373287,-0.017581079,0.943267465,-0.116122476,0.00177003,-0.008191516,0.993199545,-1.732067865,0.164106962,0.229936797
1747821628.55394,-0.032321721,-0.403422982,7.068880558,0.036218986,-0.094808526,0.068176918,0.182605866,0.163030146,-0.325533666,0.260939286,-0.161586741,-0.276642707,-0.109450815,0.165983567,-0.268407009,-0.181606483,-0.1666056,-0.320573641,1,0,0,1,4919.384277344,102.756401062,302.48815918,0.331247211,0.007110087,-0.017602637,0.943352997,-0.116406764,0.001826794,-0.008191936,0.993166159,-1.73510385,0.163246838,0.229877203
1747821628.56275,1.176750183,-0.193930343,5.935225964,-0.073503241,-0.143810689,0.118244343,0.179293403,0.162752276,-0.325111897,0.274256213,-0.160860719,-0.277722549,-0.097006332,0.164777829,-0.269488866,-0.186706036,-0.166853349,-0.320110548,1,0,0,1,4916.0703125,105.156021118,302.421203613,0.331023902,0.007331741,-0.017599953,0.943429708,-0.11679921,0.002226446,-0.007965327,0.993121111,-1.738732915,0.162253954,0.229506544
1747821628.57064,1.37546885,0.683544576,5.893327713,-0.100134842,-0.140614882,0.092677996,0.177184713,0.162902476,-0.324753749,0.278535656,-0.160768934,-0.279583786,-0.092728825,0.164541073,-0.272288081,-0.188903614,-0.167034188,-0.319688749,1,0,0,1,4912.726074219,107.606018066,302.170806885,0.330672115,0.007939503,-0.017677343,0.943546712,-0.117145184,0.002800015,-0.008150424,0.993077407,-1.740870783,0.161568503,0.229159968
1747821628.57882,1.069011092,-0.55904609,7.400477409,-0.101200111,-0.149137005,0.149137005,0.172889858,0.162922888,-0.324071377,0.284799324,-0.161431243,-0.283420186,-0.085314809,0.164081393,-0.274481129,-0.193724177,-0.166980914,-0.319089475,1,0,0,1,4909.297363281,110.114814758,301.737823486,0.330172837,0.008599486,-0.018238436,0.943705082,-0.117661668,0.003587293,-0.00852808,0.993010642,-1.744872794,0.160367949,0.228367458
1747821628.58764,1.246181965,0.466869324,6.466738701,-0.241815001,-0.2119876,0.122505397,0.168506386,0.162843646,-0.323349644,0.288274528,-0.162885452,-0.287190348,-0.081700019,0.164127961,-0.280061831,-0.197270128,-0.16665113,-0.318604556,1,0,0,1,4905.781738281,112.680496216,301.1121521,0.329584241,0.009048138,-0.018959546,0.943892419,-0.118181386,0.004382891,-0.009193366,0.992939793,-1.748140178,0.159284808,0.227874217
1747821628.59582,1.798045516,0.001197101,8.29830265,-0.224770769,-0.134223297,0.138484359,0.165368348,0.162853974,-0.322773956,0.28899461,-0.164809506,-0.290709337,-0.0807501,0.164440489,-0.284318483,-0.200284177,-0.166114305,-0.318117157,1,0,0,1,4902.231933594,115.309379578,300.346282959,0.329065293,0.009454457,-0.020188196,0.944043994,-0.118769262,0.005356988,-0.01015101,0.992855539,-1.750877634,0.15824676,0.227342077
1747821628.60461,0.833182216,-0.509964943,9.175778389,-0.076699033,-0.079894826,0.140614882,0.160546639,0.162868943,-0.321790256,0.285254386,-0.16845216,-0.297033311,-0.081786168,0.164814468,-0.289969827,-0.205658214,-0.165439293,-0.316886081,1,0,0,1,4898.534179688,117.928314209,299.505950928,0.328514427,0.009670413,-0.02127796,0.944209695,-0.119400967,0.005884419,-0.010736664,0.992770621,-1.755012968,0.157002443,0.226290352
